Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,19/01/2016 09:00:01,19.300,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/01/2016 09:00:01,19.291,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/01/2016 09:00:01,19.292,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/01/2016 09:00:01,19.314,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/01/2016 09:00:01,19.321,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/01/2016 09:00:01,19.303,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/01/2016 09:00:01,19.302,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/01/2016 09:00:01,19.299,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/01/2016 09:00:01,19.307,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/01/2016 09:00:01,19.309,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/01/2016 09:00:01,19.314,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/01/2016 09:00:01,19.328,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,31/01/2016 09:00:01,19.326,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/02/2016 09:00:01,19.311,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/02/2016 09:00:01,19.298,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/02/2016 09:00:01,19.264,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/02/2016 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/02/2016 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/02/2016 09:00:01,19.283,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/02/2016 09:00:01,19.296,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/02/2016 09:00:01,19.288,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/02/2016 09:00:01,19.271,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/02/2016 09:00:01,19.288,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/02/2016 09:00:01,19.292,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/02/2016 09:00:01,19.272,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/02/2016 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/02/2016 09:00:01,19.244,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/02/2016 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/02/2016 09:00:01,19.250,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/02/2016 09:00:01,19.252,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/02/2016 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/02/2016 09:00:01,19.250,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/02/2016 09:00:01,19.239,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/02/2016 09:00:01,19.244,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/02/2016 09:00:01,19.248,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/02/2016 09:00:01,19.265,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/02/2016 09:00:01,19.255,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/02/2016 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/02/2016 09:00:01,19.247,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/02/2016 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/02/2016 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/02/2016 09:00:01,19.254,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/03/2016 09:00:01,19.281,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/03/2016 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/03/2016 09:00:01,19.264,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/03/2016 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/03/2016 09:00:01,19.275,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/03/2016 09:00:01,19.283,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/03/2016 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/03/2016 09:00:01,19.271,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/03/2016 09:00:01,19.257,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/03/2016 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/03/2016 09:00:01,19.240,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/03/2016 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/03/2016 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/03/2016 09:00:01,19.236,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/03/2016 09:00:01,19.236,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/03/2016 09:00:01,19.237,0,5,No discharge at this sample point (1 Good)
